@RELATION interaction
 
@ATTRIBUTE C0 NUMERIC
@ATTRIBUTE C1 NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE C3 NUMERIC
@ATTRIBUTE TP {C0, C1, C2, C3}


@DATA
8.79,5.79,1.78,5.01,C1
4.11,45.14,7.75,2.53,C1
1.39,0.0,0.0,5.0,C0
13.41,0.0,2.67,6.81,C2
2.71,24.4,25.04,2.44,C1
4.66,0.0,3.53,6.75,C2
12.12,0.0,0.0,13.83,C0
1.09,0.0,0.0,12.52,C0
5.47,0.0,3.26,12.95,C2
7.72,0.0,3.69,18.64,C2
20.76,0.0,9.26,9.74,C2
0.98,0.0,0.0,19.11,C3
5.64,19.03,4.65,16.31,C1
1.35,3.98,1.84,19.78,C1
10.81,39.51,1.93,4.83,C2
5.1,0.0,0.0,9.49,C0
4.53,0.0,1.42,6.56,C0
7.04,80.72,4.37,26.84,C2
1.25,3.76,0.84,6.24,C1
0.0,0.0,0.0,0.83,C3
1.35,0.0,2.87,4.93,C2
3.98,35.86,2.88,2.46,C1
2.74,0.0,2.86,2.49,C1
0.0,0.0,0.0,45.43,C3
2.65,28.01,7.63,4.95,C2
19.24,0.0,0.0,39.38,C0
23.46,0.0,28.04,7.48,C2
9.25,0.0,0.0,9.82,C2
0.0,0.0,0.0,1.62,C3
2.64,0.0,0.0,29.53,C3
2.7,0.0,0.0,7.42,C0
9.04,40.42,0.85,9.15,C1
2.86,0.0,0.0,33.69,C0
2.67,11.21,2.83,14.89,C1
3.93,0.0,0.0,7.45,C0
3.59,0.0,0.0,18.03,C0
5.49,85.55,2.91,34.21,C2
0.9,0.0,0.0,18.02,C3
8.79,3.35,1.68,6.82,C1
0.57,0.0,0.0,13.26,C3
3.55,0.0,0.0,23.26,C2
2.69,0.0,2.47,26.6,C2
3.85,0.0,0.0,34.69,C0
1.25,36.75,1.83,25.22,C2
2.37,21.66,4.45,2.16,C1
4.13,69.81,5.89,2.52,C0
8.32,20.22,0.96,12.68,C1
7.55,0.0,0.69,18.88,C0
2.32,15.24,0.73,1.72,C1
13.48,4.07,3.7,28.76,C0
4.36,0.0,0.0,1.99,C2
0.0,0.0,0.0,6.95,C0
3.99,15.75,0.96,14.99,C1
5.25,34.11,2.72,4.96,C1
14.91,0.0,0.0,12.48,C0
5.19,0.0,1.28,13.92,C2
1.33,0.0,1.92,2.37,C2
3.97,0.0,3.64,7.16,C0
25.36,0.0,0.96,22.27,C3
7.56,33.62,1.55,11.44,C1
7.59,61.31,30.73,2.28,C1
11.83,0.0,0.0,12.42,C0
4.01,22.19,8.33,2.5,C2
2.65,0.0,0.0,2.5,C2
0.96,43.79,3.37,21.44,C1
2.75,0.0,1.76,2.53,C0
2.07,2.09,0.35,1.62,C1
15.53,0.39,0.0,34.34,C2
2.71,0.0,2.61,2.44,C1
22.99,65.68,4.71,9.97,C1
9.57,0.0,6.05,11.89,C0
1.03,10.09,2.25,11.82,C1
10.42,0.0,0.0,28.82,C2
11.95,14.81,3.53,2.42,C0
22.07,92.94,28.93,45.42,C0
1.3,18.25,6.49,9.66,C0
1.38,3.94,1.9,19.68,C1
18.95,0.0,5.62,29.38,C3
12.53,3.81,1.77,6.34,C1
21.94,0.0,1.66,35.03,C0
2.78,4.15,2.92,2.54,C1
20.03,20.73,2.92,12.97,C2
2.94,0.0,2.37,4.84,C2
5.33,0.0,0.0,7.12,C0
1.15,0.0,1.13,12.64,C2
3.47,0.0,0.0,15.7,C0
5.39,0.0,3.73,2.34,C2
6.86,0.0,0.0,14.43,C0
0.0,0.0,0.0,15.13,C3
1.77,8.21,2.12,4.12,C2
3.6,0.0,1.34,2.28,C0
7.75,0.0,0.84,4.96,C0
2.95,0.0,4.47,2.06,C2
0.0,0.0,0.03,1.97,C1
1.65,0.0,0.0,29.28,C3
2.46,0.0,0.0,9.38,C0
6.94,7.96,5.87,5.08,C1
8.05,3.65,0.85,32.27,C1
1.38,69.93,6.81,4.97,C1
1.97,0.0,1.25,2.53,C2
1.1,0.0,5.47,4.66,C2
5.32,3.85,2.67,2.41,C1
0.0,0.0,0.0,12.68,C3
7.02,0.0,0.9,11.8,C1
0.0,0.0,0.0,0.53,C2
10.94,0.0,0.79,4.25,C0
3.22,0.0,0.0,5.33,C0
25.73,11.36,1.82,14.38,C1
19.85,0.0,0.92,17.34,C2
2.65,39.64,7.9,2.5,C0
3.38,8.93,4.18,1.35,C1
1.23,44.29,1.88,2.26,C1
24.95,0.0,0.0,13.1,C2
6.39,0.0,0.0,21.06,C0
2.67,11.51,2.83,2.44,C1
0.0,0.0,0.0,35.01,C3
3.81,25.4,2.58,2.38,C1
0.0,0.0,0.0,0.0,C3
8.64,0.0,1.84,20.62,C3
2.62,10.66,4.45,2.39,C2
1.36,0.0,0.0,23.68,C3
2.75,0.0,0.96,2.49,C2
1.1,0.0,0.25,3.66,C1
1.35,38.48,2.77,2.46,C1
2.62,11.16,1.84,7.04,C1
2.55,3.82,2.69,2.45,C1
1.24,16.62,2.57,4.23,C1
2.92,0.0,0.0,13.51,C3
12.98,0.0,3.62,4.5,C0
2.23,0.0,3.41,16.0,C2
7.58,0.0,0.0,20.0,C0
0.0,0.0,0.0,22.2,C3
5.25,0.0,0.96,2.44,C2
2.7,28.22,2.84,2.53,C1
2.59,15.04,10.79,4.81,C2
2.55,11.18,1.81,4.48,C1
2.61,3.94,3.7,2.46,C1
2.45,0.0,1.3,2.38,C2
0.0,0.0,0.0,6.5,C0
9.25,0.0,0.0,2.42,C0
12.14,0.0,0.0,7.41,C0
4.67,0.0,0.0,30.2,C2
2.62,10.97,1.85,2.32,C1
1.4,28.74,1.95,2.53,C1
1.04,0.0,1.53,27.08,C2
5.26,39.93,2.83,7.39,C1
0.0,0.0,0.0,25.14,C3
4.0,78.37,19.59,12.27,C2
2.65,15.26,2.7,2.35,C1
26.21,28.44,16.46,27.6,C2
0.0,0.0,0.0,7.24,C0
0.0,0.0,0.0,33.79,C3
3.98,0.0,3.53,4.85,C1
13.61,15.49,1.63,4.16,C1
6.83,28.73,2.9,14.92,C1
4.12,0.0,0.18,13.13,C3
3.63,15.11,5.49,2.07,C2
18.38,0.0,5.07,24.35,C1
0.0,0.0,0.0,29.6,C3
9.56,0.0,0.78,11.37,C0
1.95,0.0,0.0,5.26,C0
2.77,0.0,1.91,2.55,C2
4.1,0.0,1.72,13.82,C1
0.0,0.0,0.0,22.06,C0
2.5,0.0,0.0,2.25,C0
4.56,21.02,6.06,18.26,C1
4.19,12.41,0.99,22.25,C1
13.76,0.0,0.0,28.1,C0
2.73,39.42,0.95,2.45,C1
18.18,0.0,9.65,14.5,C2
3.82,39.37,0.95,18.34,C1
2.72,0.0,0.0,10.09,C0
12.68,0.0,0.87,39.14,C1
13.05,0.0,0.92,7.22,C3
2.79,39.93,5.62,2.47,C1
7.81,0.0,0.0,16.65,C0
1.32,0.0,3.58,2.29,C1
5.22,22.64,3.6,2.52,C2
2.1,40.7,2.33,3.51,C1
9.06,42.15,1.84,29.22,C1
9.5,35.73,3.83,12.56,C1
5.48,0.0,2.73,7.88,C2
7.4,12.81,3.65,18.11,C1
1.57,0.0,0.37,14.39,C3
2.13,8.5,6.42,1.98,C2
2.67,7.48,2.72,2.49,C1
6.48,0.0,0.0,14.14,C0
1.85,0.0,0.0,29.56,C0
35.37,0.0,0.87,46.6,C0
8.04,0.0,0.0,38.18,C0
13.98,0.0,7.12,14.42,C2
3.63,3.32,5.88,7.81,C0
12.33,0.0,4.84,2.5,C2
2.74,32.0,16.27,5.03,C2
3.95,15.03,1.87,2.45,C2
1.14,0.0,3.48,4.66,C2
4.76,0.0,2.36,20.55,C2
7.59,0.0,0.0,12.15,C0
10.33,0.0,0.9,9.51,C2
5.91,0.0,0.0,4.78,C2
10.37,27.91,1.63,4.48,C1
1.2,29.01,4.07,12.56,C1
2.73,0.0,3.76,2.44,C2
2.58,21.13,2.16,2.44,C1
1.31,78.28,6.35,2.3,C2
0.6,0.0,0.0,5.27,C3
1.2,0.0,0.0,14.96,C0
2.63,0.0,0.0,11.96,C0
6.42,0.0,1.79,9.23,C2
2.19,9.71,1.31,2.35,C1
4.17,0.0,0.98,2.29,C2
3.37,15.85,1.89,6.65,C1
1.36,0.0,1.87,2.5,C2
21.52,0.0,0.0,44.38,C0
5.52,27.48,2.85,2.51,C1
1.24,0.0,0.0,26.69,C0
4.1,24.06,3.82,9.83,C0
1.22,0.0,0.0,2.06,C0
2.64,3.75,3.56,2.43,C0
15.91,0.0,0.0,43.97,C0
6.5,0.0,0.0,35.51,C0
15.95,58.72,2.81,4.9,C2
19.08,7.03,4.82,27.24,C1
10.39,0.0,0.0,4.78,C3
3.29,13.22,1.33,21.9,C1
12.29,3.77,9.87,6.34,C1
4.17,0.0,0.0,5.25,C0
0.0,0.0,0.0,16.88,C0
0.0,0.0,0.0,3.35,C2
9.23,0.0,0.0,16.76,C2
3.41,3.8,3.11,4.49,C2
6.82,39.18,2.87,4.89,C1
1.3,0.0,0.0,28.6,C3
2.32,14.02,2.2,7.15,C1
5.52,89.11,32.57,2.45,C2
2.46,23.76,1.53,24.74,C2
2.46,3.66,0.84,6.95,C1
2.68,0.0,2.74,2.42,C1
2.61,0.0,0.0,29.93,C3
27.82,0.0,3.85,16.94,C1
8.14,0.0,3.74,24.22,C1
4.05,35.51,2.79,5.01,C1
36.67,37.86,17.59,32.04,C1
1.35,0.0,0.0,38.41,C2
8.14,44.63,0.75,36.27,C1
7.99,67.54,3.63,44.24,C2
8.59,64.46,1.66,28.17,C2
2.38,0.0,0.0,13.36,C0
4.08,0.0,1.86,32.5,C1
18.18,0.0,0.99,12.73,C2
19.31,38.36,2.4,16.97,C1
21.78,0.0,1.83,39.85,C1
0.59,0.0,0.0,13.4,C3
3.92,0.0,1.15,2.37,C2
8.89,0.0,0.0,14.11,C0
9.5,15.2,19.93,7.58,C2
17.57,0.0,1.6,26.69,C0
2.66,0.0,0.0,37.21,C3
4.25,0.0,0.0,11.02,C3
3.84,53.13,4.21,2.16,C1
0.0,0.0,0.0,16.2,C0
4.16,0.0,0.0,12.84,C0
2.36,76.87,2.63,2.25,C1
2.76,72.18,1.92,2.5,C1
24.01,0.0,6.15,31.2,C0
3.92,4.11,3.66,2.51,C1
8.03,0.0,0.0,15.12,C0
5.45,0.0,6.57,2.51,C0
6.77,0.0,2.88,5.0,C2
0.0,0.0,0.0,2.41,C0
1.34,0.0,0.92,29.38,C2
0.7,0.0,0.0,38.47,C3
9.7,34.21,5.95,9.23,C2
2.66,51.94,2.86,2.49,C2
1.22,0.0,0.0,18.99,C0
2.2,47.72,8.18,4.63,C1
20.05,20.05,0.95,44.72,C1
3.62,10.92,5.25,2.28,C1
7.63,0.0,0.0,13.51,C3
1.32,0.0,0.91,7.37,C2
3.74,0.0,0.87,2.15,C0
5.0,0.0,0.0,8.84,C0
2.71,30.31,0.9,2.33,C1
4.61,0.0,0.0,12.78,C0
2.66,0.0,2.78,9.89,C1
4.44,0.0,2.06,7.91,C2
2.44,6.95,6.26,2.1,C2
0.0,0.0,0.0,15.18,C3
2.06,0.0,1.89,15.21,C1
0.0,0.0,0.0,29.42,C0
0.57,3.38,0.31,2.78,C1
5.55,0.0,1.86,2.55,C0
4.03,11.82,4.67,2.35,C2
0.0,0.0,0.0,7.41,C0
1.21,3.66,1.75,8.43,C1
2.21,0.0,0.0,5.14,C0
0.45,0.0,0.0,1.63,C2
2.79,19.89,3.81,2.5,C1
7.07,0.0,0.0,2.46,C0
2.43,10.36,0.85,2.26,C1
2.63,0.0,0.71,2.17,C2
0.0,0.0,0.0,17.73,C3
2.69,3.92,1.93,4.8,C1
5.47,0.0,0.0,15.59,C0
4.09,7.91,2.83,2.51,C1
2.76,25.64,1.97,2.48,C1
1.36,0.0,0.0,26.11,C3
0.0,0.0,0.0,22.9,C3
6.09,0.0,0.0,17.17,C0
2.6,11.08,3.6,2.47,C2
2.74,24.42,1.96,2.49,C1
13.51,17.79,0.86,7.12,C1
9.51,0.0,3.74,5.0,C2
16.14,14.88,9.4,4.72,C1
1.37,12.15,1.93,5.0,C1
2.7,19.23,0.95,2.47,C1
8.5,0.0,0.0,15.66,C0
9.35,0.0,0.0,25.58,C2
4.86,12.47,2.62,26.55,C1
3.69,8.08,0.71,9.3,C1
2.75,8.04,2.92,2.49,C1
10.26,3.86,1.85,9.44,C2
2.49,0.0,0.0,33.03,C0
5.45,39.03,6.63,2.5,C0
2.64,11.69,1.89,2.5,C1
4.13,15.75,0.96,17.26,C1
2.58,0.0,3.57,1.89,C2
4.35,0.0,0.0,9.43,C0
1.33,0.0,0.0,19.53,C0
9.34,0.0,0.0,88.36,C0
4.04,16.31,3.89,2.52,C1
2.01,2.4,0.28,18.02,C2
2.71,0.0,2.82,2.51,C1
1.29,0.0,0.0,2.37,C0
2.7,55.68,1.75,21.89,C1
11.67,17.85,11.45,0.52,C2
1.31,0.0,0.0,8.86,C2
7.98,0.0,0.0,24.34,C3
6.28,0.0,1.86,4.84,C3
5.15,38.42,3.8,2.43,C1
6.46,15.85,1.65,9.91,C2
8.13,3.38,1.66,2.38,C1
1.22,0.0,0.0,27.92,C3
1.15,0.0,1.69,34.35,C2
2.2,0.0,0.0,24.07,C3
2.69,3.19,0.92,2.47,C1
1.87,21.06,6.31,16.3,C2
2.74,20.2,3.75,2.5,C1
3.95,0.0,2.74,2.41,C2
1.25,3.54,1.72,13.35,C1
2.5,15.09,1.83,4.26,C1
2.27,0.0,2.48,2.15,C2
2.74,3.61,0.96,4.98,C1
3.81,0.0,0.0,29.1,C3
2.63,0.0,0.0,2.33,C0
3.66,14.81,0.78,11.79,C1
2.78,20.63,0.97,2.51,C1
10.98,0.0,0.0,4.68,C0
5.56,0.0,0.0,22.78,C0
4.09,0.0,2.76,11.45,C2
0.0,0.0,0.0,17.66,C3
15.84,0.0,5.65,7.34,C2
7.92,18.86,3.59,2.43,C1
1.76,0.0,0.81,8.26,C0
4.06,0.0,2.86,4.87,C1
5.46,32.01,11.45,2.5,C0
1.29,24.02,4.95,2.3,C1
1.39,75.65,5.87,10.24,C1
2.62,27.38,1.91,2.39,C1
2.16,0.0,1.66,11.62,C0
11.16,36.87,13.71,2.54,C1
2.69,0.0,0.96,7.55,C1
5.24,0.0,0.0,11.55,C3
5.53,8.1,8.35,12.58,C1
2.75,56.91,7.72,2.47,C2
6.16,57.5,15.49,7.04,C2
0.0,0.0,0.0,34.39,C3
3.95,48.06,2.87,2.53,C2
4.58,0.0,0.0,2.42,C3
2.72,27.94,1.93,7.32,C1
2.78,0.0,2.78,6.74,C2
4.01,0.0,0.0,16.93,C3
1.34,0.0,2.53,2.33,C2
3.99,14.89,3.75,2.44,C1
2.58,10.94,2.72,8.74,C1
3.86,0.0,0.0,4.91,C0
1.25,23.05,1.74,32.02,C1
2.73,0.0,0.0,34.74,C2
10.4,0.0,2.16,8.46,C2
0.88,0.53,0.08,5.84,C1
1.74,15.57,10.05,3.39,C1
2.59,0.0,0.83,2.45,C2
2.77,0.0,2.89,5.03,C2
2.73,4.04,2.93,2.49,C1
10.63,77.38,4.63,2.48,C0
2.5,6.97,2.36,21.68,C1
13.38,0.0,0.0,36.25,C0
6.93,0.0,0.0,15.18,C3
19.66,61.26,1.75,43.42,C1
1.32,7.58,2.58,2.3,C1
7.99,26.6,6.15,7.38,C1
13.64,0.0,0.96,17.38,C0
11.23,0.0,0.0,35.34,C0
8.6,0.0,1.15,21.67,C3
2.72,90.29,8.59,2.49,C2
0.0,0.0,0.0,2.24,C0
4.94,0.0,3.6,3.88,C2
1.39,0.0,0.0,17.81,C0
2.65,14.48,1.65,33.52,C1
4.07,0.0,0.94,30.1,C2
2.75,19.63,0.97,2.53,C1
2.74,0.0,0.0,27.58,C2
0.31,0.0,0.0,12.55,C3
3.89,25.11,3.73,2.45,C1
1.31,0.0,1.78,4.63,C2
23.07,0.0,10.83,4.82,C2
9.01,0.0,2.53,7.39,C1
20.39,3.93,9.47,22.51,C1
1.32,21.97,0.93,29.32,C1
1.31,60.94,25.3,4.98,C2
2.32,0.0,0.0,4.29,C0
8.96,0.0,0.0,11.67,C0
1.92,0.0,0.18,4.54,C3
2.39,0.0,3.06,10.16,C2
2.8,0.0,0.0,2.56,C2
4.2,0.0,0.0,14.97,C2
8.09,12.7,3.24,17.36,C2
1.39,0.0,0.0,14.88,C0
2.63,21.76,1.66,2.48,C1
12.35,0.0,0.0,28.22,C0
2.69,0.0,3.47,2.48,C1
3.83,30.63,3.64,9.96,C2
3.82,6.71,1.6,8.9,C2
2.49,43.92,10.25,9.21,C1
2.63,14.06,3.26,2.37,C2
1.39,28.19,3.86,2.5,C1
4.13,12.01,3.85,2.56,C1
12.8,0.0,1.46,10.1,C3
1.33,20.29,1.94,2.41,C1
1.32,10.82,0.93,4.56,C1
8.28,0.0,0.0,7.63,C2
4.1,44.82,2.95,2.46,C1
1.33,54.12,1.77,2.32,C1
4.08,0.0,1.94,2.43,C0
11.03,0.0,0.0,27.52,C0
2.59,11.47,1.85,2.45,C1
3.4,15.51,3.08,4.51,C1
16.14,0.0,0.0,17.42,C3
2.64,0.0,0.93,2.48,C2
3.6,18.35,4.16,2.21,C1
1.3,10.67,0.87,18.9,C1
0.0,0.0,0.0,6.96,C3
2.76,0.0,0.0,2.49,C2
2.77,8.07,2.89,2.51,C1
16.56,4.07,2.97,7.56,C1
6.41,0.0,0.91,11.84,C2
2.77,0.0,6.85,5.08,C1
2.73,16.33,1.94,27.28,C1
9.17,0.0,0.89,11.92,C2
3.49,0.0,0.0,11.05,C2
12.6,0.0,12.73,5.07,C2
2.62,23.54,3.78,7.5,C1
4.15,0.0,2.92,13.66,C0
3.7,0.0,2.38,2.34,C1
1.39,0.0,3.71,27.0,C2
2.69,11.69,3.66,2.49,C1
1.38,45.07,2.89,4.96,C2
2.48,34.23,4.25,8.45,C1
8.01,0.0,1.86,7.35,C2
0.0,0.0,0.0,12.46,C0
4.01,0.0,0.9,17.86,C2
2.95,0.0,0.76,15.73,C3
3.36,0.0,0.93,18.76,C0
4.01,35.88,3.72,6.66,C1
2.08,0.0,0.0,27.65,C0
6.57,0.0,1.91,11.39,C0
2.34,18.22,0.84,2.12,C1
1.06,9.44,1.26,4.52,C1
20.72,0.0,0.98,17.13,C0
2.63,15.31,3.62,2.21,C1
0.82,0.0,2.03,10.04,C2
2.3,0.0,0.78,18.22,C1
3.73,21.55,7.0,2.49,C2
7.61,0.0,0.0,11.21,C0
1.21,6.65,0.95,28.88,C1
14.8,19.79,6.63,7.41,C1
5.44,3.74,1.48,14.75,C1
1.34,13.59,3.45,2.37,C1
5.56,0.0,3.88,2.51,C2
2.62,6.67,1.74,11.49,C1
1.07,30.98,3.62,14.2,C1
4.12,0.0,4.82,5.01,C2
6.73,0.0,2.86,4.91,C2
5.28,56.24,4.71,2.5,C0
15.45,0.0,0.82,27.87,C3
2.58,7.4,1.78,14.58,C1
1.19,0.0,1.65,2.32,C1
2.69,3.85,3.41,2.43,C1
4.8,0.0,0.83,2.29,C0
4.05,67.41,4.71,2.48,C2
8.63,0.0,0.0,26.84,C3
1.27,20.09,0.9,2.5,C1
5.32,3.9,5.69,7.35,C2
2.72,82.48,5.68,39.54,C2
3.46,28.09,1.66,17.92,C1
6.49,0.0,1.8,4.91,C0
1.11,72.15,8.46,6.8,C1
10.75,0.0,0.0,24.53,C3
0.97,0.0,0.0,2.36,C1
2.48,3.48,0.84,2.42,C1
7.68,75.34,33.72,2.39,C0
8.0,0.0,1.87,12.39,C2
1.34,89.17,18.36,2.5,C2
2.71,7.7,4.82,2.41,C1
5.15,0.0,0.0,4.73,C0
2.56,0.0,1.82,2.44,C2
36.55,10.98,5.48,21.93,C1
3.19,0.0,0.0,3.46,C0
0.0,0.0,0.0,15.04,C3
7.89,0.0,0.0,22.51,C3
8.52,0.0,0.0,37.74,C0
16.78,32.72,6.48,12.05,C1
21.13,0.0,0.0,18.16,C0
2.7,15.02,10.17,4.99,C1
2.69,0.0,5.59,4.98,C2
4.08,24.0,1.9,2.54,C1
2.52,44.74,1.84,2.33,C1
2.23,13.26,1.7,2.24,C1
4.61,0.0,0.86,4.57,C2
1.36,3.89,3.73,24.17,C1
3.68,14.12,0.79,7.24,C1
2.53,17.31,2.54,2.44,C1
3.75,35.18,3.63,12.03,C1
9.65,0.0,0.0,2.3,C0
1.09,18.87,5.95,4.59,C1
8.96,0.0,0.0,41.35,C0
2.68,27.5,5.65,2.5,C2
25.15,0.0,0.93,2.42,C0
2.52,0.0,1.9,6.91,C1
6.42,0.0,0.0,12.2,C3
0.81,0.0,0.0,19.42,C2
2.52,19.28,1.85,2.41,C1
1.32,32.19,11.39,4.91,C2
6.08,0.0,0.0,21.56,C3
4.16,8.09,1.95,2.47,C1
2.43,2.88,2.5,2.32,C1
4.49,10.09,4.11,2.04,C1
2.88,0.0,2.04,5.63,C2
1.07,10.58,3.3,3.76,C1
2.64,56.29,13.32,2.21,C2
2.31,4.43,2.84,1.91,C1
2.73,0.0,0.0,2.38,C0
3.85,15.55,4.62,3.68,C1
0.89,0.0,2.81,10.11,C1
2.09,0.0,0.0,11.18,C3
3.72,3.64,4.3,4.07,C1
0.28,0.0,0.0,12.07,C3
6.27,0.0,2.58,25.77,C1
2.8,30.79,3.92,5.04,C1
3.08,0.0,0.77,21.75,C0
3.6,0.0,0.0,2.51,C0
24.06,0.0,8.49,17.12,C0
0.92,2.82,0.63,1.51,C1
0.88,0.0,1.35,10.23,C2
4.87,0.0,0.0,4.19,C0
1.36,0.0,1.84,2.48,C2
5.54,20.53,3.93,5.04,C1
7.67,0.0,0.0,11.79,C0
1.11,0.0,0.0,12.45,C2
0.0,0.0,0.0,10.77,C3
3.78,15.1,2.75,20.66,C1
5.42,10.99,2.65,11.98,C1
5.3,46.91,1.91,2.5,C2
16.32,0.0,0.0,15.96,C0
0.0,0.0,0.0,21.43,C3
2.62,39.48,0.97,7.31,C1
1.32,19.8,2.79,4.99,C1
0.7,9.51,6.77,1.29,C1
2.14,0.0,1.47,4.47,C0
2.48,0.0,0.0,12.9,C0
6.7,62.55,6.53,2.47,C0
22.31,66.6,39.5,10.05,C1
4.01,0.0,0.94,4.75,C0
9.37,3.9,0.91,4.86,C1
1.21,0.0,1.64,6.07,C2
4.97,0.0,1.63,2.36,C2
2.68,0.0,0.93,2.39,C2
4.54,6.08,6.2,2.09,C1
3.95,3.79,1.89,2.44,C2
8.61,0.0,0.0,7.24,C0
1.3,19.13,2.62,2.23,C1
5.37,0.0,1.82,2.51,C2
11.88,3.9,6.45,4.84,C2
1.37,0.0,9.64,2.5,C2
0.62,0.0,0.0,11.09,C3
4.41,30.76,3.03,6.71,C1
2.69,36.1,2.83,22.23,C1
4.08,0.0,9.13,32.86,C0
1.34,35.81,3.76,2.38,C1
27.15,11.92,2.91,5.07,C1
25.68,0.0,2.46,25.97,C2
2.25,62.96,1.49,2.29,C1
2.16,0.0,0.8,1.98,C2
1.14,0.0,1.39,30.49,C1
17.11,3.68,4.36,41.47,C3
1.34,58.96,1.81,2.44,C1
0.0,0.0,0.0,22.49,C3
2.6,0.0,0.0,24.21,C3
8.32,0.0,2.87,7.57,C2
2.7,27.11,0.93,2.43,C1
2.91,32.8,2.84,2.99,C1
4.73,0.0,3.28,2.21,C2
16.71,0.0,4.33,33.04,C2
2.3,0.0,0.0,2.31,C0
1.91,3.86,1.78,13.94,C1
7.72,70.79,11.98,7.31,C1
4.98,3.08,15.4,2.31,C1
1.25,0.0,1.54,7.03,C1
10.66,0.0,0.94,12.23,C0
1.32,44.35,0.97,4.94,C1
2.4,0.0,0.0,4.54,C2
3.26,0.0,0.0,13.58,C1
5.08,7.62,3.7,2.37,C1
1.3,0.0,5.01,2.16,C2
1.26,0.0,0.89,22.2,C1
12.17,34.91,0.93,7.4,C1
14.46,22.13,0.86,29.07,C1
21.6,0.0,1.85,14.86,C0
2.46,10.1,0.88,19.84,C1
2.22,4.04,0.89,6.78,C1
3.82,0.0,0.0,4.41,C3
2.43,16.97,2.51,6.98,C1
7.79,0.0,1.87,2.39,C0
1.27,3.47,2.49,2.22,C1
2.72,47.26,1.89,2.5,C2
2.7,0.0,0.0,34.45,C0
0.0,0.0,0.0,29.78,C3
2.78,4.11,0.99,2.47,C1
5.5,0.0,1.92,2.49,C2
1.02,0.0,0.0,2.29,C0
7.98,27.53,6.6,9.99,C2
6.48,0.0,0.0,6.98,C0
0.0,0.0,0.0,14.62,C0
0.39,0.0,0.01,0.92,C1
9.36,0.0,0.0,36.89,C3
17.39,46.52,3.66,18.58,C1
5.94,0.0,0.0,7.27,C0
17.34,86.45,29.9,2.39,C2
6.73,0.0,0.0,15.02,C0
25.15,0.0,11.75,9.67,C2
34.4,61.27,69.65,7.36,C1
2.44,0.0,1.46,15.09,C2
2.76,12.32,4.84,2.43,C1
3.63,0.0,1.9,7.05,C2
2.63,3.24,2.58,2.38,C1
1.31,7.25,5.68,22.88,C1
2.64,10.4,3.52,2.39,C1
1.2,53.85,6.38,4.22,C2
9.14,4.17,2.89,2.33,C0
3.27,27.96,2.34,6.64,C1
6.19,0.0,3.44,4.79,C2
2.59,0.0,0.94,4.75,C2
1.61,0.71,0.74,11.52,C3
1.35,0.0,0.0,4.87,C0
6.5,0.0,1.65,18.6,C2
18.95,13.55,5.96,53.02,C3
4.05,0.0,3.75,4.88,C1
33.98,4.04,26.91,4.71,C1
8.2,3.65,1.65,8.53,C2
2.66,3.3,0.82,16.45,C1
5.74,0.0,4.6,11.55,C1
5.95,37.1,7.96,2.21,C0
0.0,0.0,0.0,22.36,C3
14.1,0.0,4.44,9.46,C0
3.91,3.67,11.85,2.77,C0
6.78,16.14,4.66,4.99,C1
1.37,0.0,0.0,18.75,C0
2.35,0.0,0.0,11.87,C0
0.33,8.75,3.53,7.18,C1
0.69,12.97,4.92,1.61,C1
3.79,0.0,0.0,9.26,C0
2.72,3.73,7.31,2.45,C1
3.62,0.0,1.75,10.86,C2
4.13,0.0,0.0,5.02,C3
8.37,0.0,0.0,4.7,C2
2.64,3.67,2.78,7.16,C1
1.38,0.0,2.8,7.96,C2
3.78,56.24,7.0,2.26,C1
11.79,3.21,1.78,43.47,C1
7.66,66.1,1.84,26.72,C2
0.0,0.0,0.0,11.97,C0
2.68,0.0,0.0,26.77,C3
6.66,0.0,0.0,14.33,C0
1.37,0.0,0.0,26.31,C0
0.0,0.0,0.0,19.18,C3
2.68,0.0,3.44,2.37,C2
1.7,0.0,0.0,19.71,C3
2.17,3.29,3.73,11.51,C2
5.82,0.0,0.0,6.72,C0
5.85,23.02,9.11,4.51,C1
7.34,0.0,6.57,22.13,C1
1.38,81.96,17.06,2.48,C2
1.36,0.0,0.0,2.48,C2
6.72,49.88,5.41,39.58,C2
2.69,0.0,2.79,36.77,C1
9.99,2.97,4.0,1.36,C2
4.23,3.97,2.95,2.56,C1
2.13,0.0,0.0,9.33,C0
1.37,12.2,1.91,2.53,C1
3.21,2.4,1.4,8.26,C1
1.35,0.0,1.89,2.45,C1
1.27,0.0,0.0,16.98,C3
2.59,40.7,2.73,29.42,C1
2.61,0.0,0.0,7.24,C0
0.0,0.0,0.0,21.27,C0
2.47,0.0,0.0,17.52,C0
4.58,0.0,1.57,13.45,C0
5.89,0.0,0.0,13.95,C0
6.07,0.0,0.0,1.81,C0
1.37,15.96,1.89,19.49,C1
24.99,94.07,8.74,32.89,C2
1.21,64.18,1.77,2.22,C1
9.68,0.0,0.0,12.65,C0
2.28,24.74,2.12,26.7,C1
2.42,20.86,0.88,22.01,C1
4.46,0.0,1.35,4.08,C0
1.25,5.59,1.87,2.62,C1
15.97,0.0,1.66,10.36,C0
1.26,10.41,2.95,18.87,C1
7.98,0.0,0.0,12.22,C3
